title,age_limit,rating,rating_count
뽀로로 극장판 드래곤캐슬 대모험,전체 관람가,9.27,94
초록밤,15세 관람가,9.19,16
배드 럭 뱅잉,청소년 관람불가,6.08,36
임파서블 러브,청소년 관람불가,9.22,18
한산: 용의 출현,12세 관람가,8.71,"11,565"
아이를 위한 아이,12세 관람가,9.20,40
미니언즈2,전체 관람가,7.80,"1,707"
외계+인 1부,12세 관람가,7.40,"14,579"
썸머 필름을 타고!,전체 관람가,7.66,239
스파이형 모델,15세 관람가,7.14,14
로스트 도터,15세 관람가,7.70,141
군다,전체 관람가,7.89,28
메모리,15세 관람가,7.08,36
명탐정 코난: 할로윈의 신부,12세 관람가,9.52,"1,295"
엘비스,15세 관람가,8.89,841
체리마호: 30살까지 동정이면 마법사가 될 수 있대,12세 관람가,9.03,69
멘,청소년 관람불가,6.34,168
뒤틀린 집,15세 관람가,5.41,346
그레이 맨,15세 관람가,8.41,"1,249"
더 킬러: 죽어도 되는 아이,청소년 관람불가,7.34,"1,087"
토르: 러브 앤 썬더,12세 관람가,6.55,"10,775"
큐어,15세 관람가,8.37,499
프리! 더 파이널 스트로크 후편,전체 관람가,8.41,39
컴온 컴온,12세 관람가,7.81,238
보통의 용기,전체 관람가,8.30,44
러브: 무삭제판,청소년 관람불가,6.25,8
눈감은 여름,12세 관람가,7.00,3
헤어질 결심,15세 관람가,8.65,"10,412"
위대한 침묵,12세 관람가,8.94,358
모어,15세 관람가,9.21,135
니얼굴,전체 관람가,9.39,145
우스운게 딱! 좋아!,15세 관람가,7.36,25
디어 헌터,15세 관람가,8.91,370
탑건: 매버릭,12세 관람가,9.77,"35,167"
경아의 딸,15세 관람가,8.78,86
실종,청소년 관람불가,7.72,248
마녀(魔女) Part2. The Other One,15세 관람가,6.65,"17,258"
베르네 부인의 장미정원,12세 관람가,8.87,61
브로커,12세 관람가,5.52,"8,809"
애프터 양,전체 관람가,8.16,589
카시오페아,12세 관람가,9.07,473
그대가 조국,12세 관람가,7.06,"11,585"
범죄도시2,15세 관람가,9.35,"26,893"
"아치의 노래, 정태춘",전체 관람가,9.35,146
우연과 상상,15세 관람가,8.16,406
평평남녀,12세 관람가,5.69,32
소설가의 영화,12세 관람가,7.73,234
중경삼림,15세 관람가,8.89,"3,052"
드라이,15세 관람가,7.49,82
이상한 나라의 수학자,12세 관람가,8.19,"3,572"
극장판 주술회전 0,15세 관람가,9.25,"1,590"
드라이브 마이 카,15세 관람가,8.40,938
호수의 이방인,,7.39,49
빌리 홀리데이,청소년 관람불가,7.75,178
코다,12세 관람가,9.13,995
빛나는 순간,12세 관람가,8.34,311
피넛 버터 팔콘,12세 관람가,9.02,58
스파이의 아내,12세 관람가,8.14,166
테스와 보낸 여름,전체 관람가,9.09,154
어서오시게스트하우스,15세 관람가,8.28,160
녹색 광선,12세 관람가,8.42,177
아이 엠 러브,청소년 관람불가,7.85,653
신은 죽지 않았다 3: 어둠 속의 빛,12세 관람가,8.32,420
내 사랑,12세 관람가,9.22,"3,522"
물숨,전체 관람가,9.12,117
비거 스플래쉬,청소년 관람불가,7.18,228
순응자,청소년 관람불가,8.33,157
헤이트풀8,청소년 관람불가,8.49,"2,006"
대니 콜린스,15세 관람가,8.83,572
올드보이,청소년 관람불가,9.04,"6,999"
홀리 모터스,청소년 관람불가,7.36,449
박쥐,청소년 관람불가,6.33,"13,685"
펄프 픽션,청소년 관람불가,8.77,"1,371"
오발탄,15세 관람가,8.44,77
돌아온 사나이,,7.50,2
이 생명 다하도록,,8.29,7
청춘 쌍곡선,,8.73,11
맨발의 백작부인,,7.25,4
레베카,15세 관람가,8.89,116
